"","rules","support","confidence","lift","count"
"1","{frozen vegetables} => {whole milk}",0.0204372140315201,0.424947145877378,1.66309398316913,201
"2","{beef} => {whole milk}",0.0212506354855109,0.405038759689922,1.58517954697588,209
"3","{curd} => {whole milk}",0.026131164209456,0.490458015267176,1.91948053328797,257
"4","{whole milk} => {curd}",0.026131164209456,0.102268205332272,1.91948053328797,257
"5","{pork} => {other vegetables}",0.0216573462125064,0.375661375661376,1.94147642124521,213
"6","{other vegetables} => {pork}",0.0216573462125064,0.111928533893852,1.94147642124521,213
"7","{pork} => {whole milk}",0.0221657346212506,0.384479717813051,1.5047186727781,218
"8","{frankfurter} => {whole milk}",0.0205388917132689,0.348275862068965,1.36302948804149,202
"9","{bottled beer} => {whole milk}",0.0204372140315201,0.253787878787879,0.993236684392673,201
"10","{brown bread} => {whole milk}",0.0252160650737163,0.38871473354232,1.5212930379581,248
"11","{margarine} => {whole milk}",0.0241992882562278,0.413194444444444,1.61709803466419,238
"12","{butter} => {other vegetables}",0.0200305033045247,0.361467889908257,1.86812227916327,197
"13","{other vegetables} => {butter}",0.0200305033045247,0.103520756699947,1.86812227916327,197
"14","{butter} => {whole milk}",0.02755465175394,0.497247706422018,1.94605300145665,271
"15","{whole milk} => {butter}",0.02755465175394,0.107839235972941,1.94605300145665,271
"16","{newspapers} => {whole milk}",0.0273512963904423,0.342675159235669,1.34111030285826,269
"17","{whole milk} => {newspapers}",0.0273512963904423,0.107043374452845,1.34111030285826,269
"18","{domestic eggs} => {other vegetables}",0.0222674123029995,0.350961538461538,1.81382382068798,219
"19","{other vegetables} => {domestic eggs}",0.0222674123029995,0.115081450341566,1.81382382068798,219
"20","{domestic eggs} => {whole milk}",0.0299949161159126,0.47275641025641,1.85020266409542,295
"21","{whole milk} => {domestic eggs}",0.0299949161159126,0.117389574214087,1.85020266409542,295
"22","{fruit/vegetable juice} => {other vegetables}",0.0210472801220132,0.291139240506329,1.50465287986324,207
"23","{other vegetables} => {fruit/vegetable juice}",0.0210472801220132,0.108775617446138,1.50465287986324,207
"24","{fruit/vegetable juice} => {whole milk}",0.0266395526182003,0.368495077355837,1.44216040023663,262
"25","{whole milk} => {fruit/vegetable juice}",0.0266395526182003,0.104257859132511,1.44216040023663,262
"26","{whipped/sour cream} => {yogurt}",0.0207422470767667,0.28936170212766,2.07425097698654,204
"27","{yogurt} => {whipped/sour cream}",0.0207422470767667,0.14868804664723,2.07425097698654,204
"28","{whipped/sour cream} => {other vegetables}",0.0288764616166751,0.402836879432624,2.08192365171827,284
"29","{other vegetables} => {whipped/sour cream}",0.0288764616166751,0.149238045191802,2.08192365171826,284
"30","{whipped/sour cream} => {whole milk}",0.0322318251143874,0.449645390070922,1.75975424247812,317
"31","{whole milk} => {whipped/sour cream}",0.0322318251143874,0.126144050935137,1.75975424247812,317
"32","{pip fruit} => {tropical fruit}",0.0204372140315201,0.270161290322581,2.57464756814204,201
"33","{tropical fruit} => {pip fruit}",0.0204372140315201,0.194767441860465,2.57464756814204,201
"34","{pip fruit} => {other vegetables}",0.026131164209456,0.345430107526882,1.78523652523746,257
"35","{other vegetables} => {pip fruit}",0.026131164209456,0.135049921177089,1.78523652523746,257
"36","{pip fruit} => {whole milk}",0.0300965937976614,0.397849462365591,1.55704316051158,296
"37","{whole milk} => {pip fruit}",0.0300965937976614,0.117787504974134,1.55704316051158,296
"38","{pastry} => {soda}",0.0210472801220132,0.236571428571429,1.35666472303207,207
"39","{soda} => {pastry}",0.0210472801220132,0.12069970845481,1.35666472303207,207
"40","{pastry} => {rolls/buns}",0.0209456024402644,0.235428571428571,1.27995577667219,206
"41","{rolls/buns} => {pastry}",0.0209456024402644,0.11387506909895,1.27995577667219,206
"42","{pastry} => {other vegetables}",0.0225724453482461,0.253714285714286,1.31123489227535,222
"43","{other vegetables} => {pastry}",0.0225724453482461,0.116657908565423,1.31123489227535,222
"44","{pastry} => {whole milk}",0.033248601931876,0.373714285714286,1.46258654994031,327
"45","{whole milk} => {pastry}",0.033248601931876,0.130123358535615,1.46258654994031,327
"46","{citrus fruit} => {yogurt}",0.0216573462125064,0.261670761670762,1.87575214360929,213
"47","{yogurt} => {citrus fruit}",0.0216573462125064,0.155247813411079,1.87575214360929,213
"48","{citrus fruit} => {other vegetables}",0.0288764616166751,0.348894348894349,1.80314026346606,284
"49","{other vegetables} => {citrus fruit}",0.0288764616166751,0.149238045191802,1.80314026346606,284
"50","{citrus fruit} => {whole milk}",0.0305033045246568,0.368550368550369,1.44237679056621,300
"51","{whole milk} => {citrus fruit}",0.0305033045246568,0.119379228014326,1.44237679056621,300
"52","{shopping bags} => {soda}",0.0246059989832232,0.249742002063983,1.43219393020366,242
"53","{soda} => {shopping bags}",0.0246059989832232,0.141107871720117,1.43219393020366,242
"54","{shopping bags} => {other vegetables}",0.0231825114387392,0.235294117647059,1.21603659855955,228
"55","{other vegetables} => {shopping bags}",0.0231825114387392,0.119810825013137,1.21603659855955,228
"56","{shopping bags} => {whole milk}",0.0245043213014743,0.248710010319917,0.973363689413604,241
"57","{sausage} => {soda}",0.0243009659379766,0.258658008658009,1.48332449863062,239
"58","{soda} => {sausage}",0.0243009659379766,0.13935860058309,1.48332449863062,239
"59","{sausage} => {rolls/buns}",0.0306049822064057,0.325757575757576,1.7710479588589,301
"60","{rolls/buns} => {sausage}",0.0306049822064057,0.166390270867883,1.7710479588589,301
"61","{sausage} => {other vegetables}",0.0269445856634469,0.286796536796537,1.48220911161006,265
"62","{other vegetables} => {sausage}",0.0269445856634469,0.139253809774041,1.48220911161006,265
"63","{sausage} => {whole milk}",0.0298932384341637,0.318181818181818,1.24525196252216,294
"64","{whole milk} => {sausage}",0.0298932384341637,0.116991643454039,1.24525196252216,294
"65","{bottled water} => {soda}",0.028978139298424,0.262189512419503,1.50357659163021,285
"66","{soda} => {bottled water}",0.028978139298424,0.166180758017493,1.50357659163021,285
"67","{bottled water} => {yogurt}",0.0229791560752415,0.207911683532659,1.49038732328258,226
"68","{yogurt} => {bottled water}",0.0229791560752415,0.164723032069971,1.49038732328258,226
"69","{bottled water} => {rolls/buns}",0.0241992882562278,0.218951241950322,1.19037339114506,238
"70","{rolls/buns} => {bottled water}",0.0241992882562278,0.131564400221117,1.19037339114506,238
"71","{bottled water} => {other vegetables}",0.0248093543467209,0.224471021159154,1.16010115244366,244
"72","{other vegetables} => {bottled water}",0.0248093543467209,0.128218602207042,1.16010115244366,244
"73","{bottled water} => {whole milk}",0.0343670564311134,0.310947562097516,1.21693962325072,338
"74","{whole milk} => {bottled water}",0.0343670564311134,0.13450059689614,1.21693962325072,338
"75","{tropical fruit} => {root vegetables}",0.0210472801220132,0.200581395348837,1.84022203661923,207
"76","{root vegetables} => {tropical fruit}",0.0210472801220132,0.193097014925373,1.84022203661923,207
"77","{tropical fruit} => {soda}",0.0208439247585155,0.198643410852713,1.13915915203291,205
"78","{soda} => {tropical fruit}",0.0208439247585155,0.119533527696793,1.13915915203291,205
"79","{tropical fruit} => {yogurt}",0.0292831723436706,0.27906976744186,2.00047460844803,288
"80","{yogurt} => {tropical fruit}",0.0292831723436706,0.209912536443149,2.00047460844803,288
"81","{tropical fruit} => {rolls/buns}",0.0246059989832232,0.234496124031008,1.274886334906,242
"82","{rolls/buns} => {tropical fruit}",0.0246059989832232,0.133775566611388,1.274886334906,242
"83","{tropical fruit} => {other vegetables}",0.0358922216573462,0.342054263565891,1.7677896385552,353
"84","{other vegetables} => {tropical fruit}",0.0358922216573462,0.185496584340515,1.7677896385552,353
"85","{tropical fruit} => {whole milk}",0.0422979156075241,0.403100775193798,1.57759495584202,416
"86","{whole milk} => {tropical fruit}",0.0422979156075241,0.165539196179865,1.57759495584202,416
"87","{root vegetables} => {yogurt}",0.0258261311642095,0.236940298507463,1.69847509899482,254
"88","{yogurt} => {root vegetables}",0.0258261311642095,0.185131195335277,1.69847509899482,254
"89","{root vegetables} => {rolls/buns}",0.0243009659379766,0.22294776119403,1.21210128874698,239
"90","{rolls/buns} => {root vegetables}",0.0243009659379766,0.132117191818684,1.21210128874698,239
"91","{root vegetables} => {other vegetables}",0.047381799694967,0.434701492537313,2.2466049285888,466
"92","{other vegetables} => {root vegetables}",0.047381799694967,0.244876510772465,2.2466049285888,466
"93","{root vegetables} => {whole milk}",0.0489069649211998,0.448694029850746,1.75603095247994,481
"94","{whole milk} => {root vegetables}",0.0489069649211998,0.191404695582969,1.75603095247994,481
"95","{soda} => {yogurt}",0.0273512963904423,0.156851311953353,1.12436782293092,269
"96","{yogurt} => {soda}",0.0273512963904423,0.196064139941691,1.12436782293092,269
"97","{soda} => {rolls/buns}",0.0383324860193188,0.219825072886297,1.19512415248023,377
"98","{rolls/buns} => {soda}",0.0383324860193188,0.208402432283029,1.19512415248023,377
"99","{soda} => {other vegetables}",0.0327402135231317,0.187755102040816,0.970347571503641,322
"100","{other vegetables} => {soda}",0.0327402135231317,0.169206516027325,0.970347571503641,322
"101","{soda} => {whole milk}",0.0400610066090493,0.229737609329446,0.899112370774016,394
"102","{whole milk} => {soda}",0.0400610066090493,0.156784719458814,0.899112370774016,394
"103","{yogurt} => {rolls/buns}",0.0343670564311134,0.246355685131195,1.33936327433129,338
"104","{rolls/buns} => {yogurt}",0.0343670564311134,0.186843559977888,1.33936327433129,338
"105","{yogurt} => {other vegetables}",0.0434163701067616,0.311224489795918,1.6084565723294,427
"106","{other vegetables} => {yogurt}",0.0434163701067616,0.224382553862323,1.6084565723294,427
"107","{yogurt} => {whole milk}",0.0560244026436197,0.401603498542274,1.57173514053453,551
"108","{whole milk} => {yogurt}",0.0560244026436197,0.219259848786311,1.57173514053453,551
"109","{rolls/buns} => {other vegetables}",0.0426029486527707,0.231619679380873,1.19704653006353,419
"110","{other vegetables} => {rolls/buns}",0.0426029486527707,0.22017866526537,1.19704653006353,419
"111","{rolls/buns} => {whole milk}",0.0566344687341129,0.307904919845218,1.20503178936638,557
"112","{whole milk} => {rolls/buns}",0.0566344687341129,0.221647433346598,1.20503178936638,557
"113","{other vegetables} => {whole milk}",0.0748347737671581,0.386757750919601,1.51363409482462,736
"114","{whole milk} => {other vegetables}",0.0748347737671581,0.292877039395145,1.51363409482462,736
"115","{root vegetables,other vegetables} => {whole milk}",0.0231825114387392,0.489270386266094,1.91483257020575,228
"116","{root vegetables,whole milk} => {other vegetables}",0.0231825114387392,0.474012474012474,2.44977019543494,228
"117","{other vegetables,whole milk} => {root vegetables}",0.0231825114387392,0.309782608695652,2.84208204899416,228
"118","{other vegetables,yogurt} => {whole milk}",0.0222674123029995,0.51288056206089,2.00723451168677,219
"119","{whole milk,yogurt} => {other vegetables}",0.0222674123029995,0.397459165154265,2.05413078785717,219
"120","{other vegetables,whole milk} => {yogurt}",0.0222674123029995,0.297554347826087,2.13297887089618,219
